#IID	HET_CT	H	theta	Ne
HG02922	3329684	0.00107409	0.00107524	22400.8
HG02923	3255471	0.00105015	0.00105125	21901
HG03499	3258023	0.00105098	0.00105209	21918.5
HG03511	3262098	0.00105229	0.0010534	21945.8
HG03514	3295314	0.001063	0.00106413	22169.4
HG03515	3263008	0.00105258	0.00105369	21951.9
HG03517	3255704	0.00105023	0.00105133	21902.7
HG03518	3302063	0.00106518	0.00106632	22215
HG03520	3284444	0.0010595	0.00106062	22096.2
HG03521	3251339	0.00104882	0.00104992	21873.3
HG02938	3268845	0.00105447	0.00105558	21991.2
HG02941	3288623	0.00106085	0.00106198	22124.6
HG02943	3287115	0.00106036	0.00106149	22114.4
HG02944	3277886	0.00105738	0.0010585	22052.1
HG02946	3304435	0.00106595	0.00106709	22231
HG02947	3319481	0.0010708	0.00107195	22332.3
HG02952	3289578	0.00106115	0.00106228	22130.8
HG02953	3239892	0.00104513	0.00104622	21796.2
HG02968	3255242	0.00105008	0.00105118	21899.6
HG02970	3280789	0.00105832	0.00105944	22071.7
HG02971	3261012	0.00105194	0.00105305	21938.5
HG02973	3299951	0.0010645	0.00106563	22200.6
HG02974	3289669	0.00106118	0.00106231	22131.5
HG02976	3278952	0.00105773	0.00105885	22059.4
HG02977	3275638	0.00105666	0.00105778	22037.1
HG02979	3258296	0.00105106	0.00105217	21920.2
HG02981	3299660	0.00106441	0.00106554	22198.8
HG03099	3274334	0.00105624	0.00105736	22028.3
HG03100	3262542	0.00105243	0.00105354	21948.8
HG03103	3200235	0.00103233	0.0010334	21529.2
HG03105	3254844	0.00104995	0.00105105	21896.9
HG03108	3281082	0.00105841	0.00105953	22073.5
HG03109	3299816	0.00106446	0.00106559	22199.8
HG03111	3266812	0.00105381	0.00105492	21977.5
HG03112	3285402	0.00105981	0.00106093	22102.7
HG03114	3261660	0.00105215	0.00105326	21942.9
HG03115	3271500	0.00105532	0.00105643	22009
HG03117	3306848	0.00106673	0.00106787	22247.3
HG03118	3261861	0.00105221	0.00105332	21944.2
HG03120	3299878	0.00106448	0.00106561	22200.2
HG03121	3254376	0.0010498	0.0010509	21893.8
HG03123	3305401	0.00106626	0.0010674	22237.5
HG03124	3295071	0.00106293	0.00106406	22167.9
HG03126	3281321	0.00105849	0.00105961	22075.2
HG03127	3290640	0.0010615	0.00106263	22138.1
HG03129	3213857	0.00103673	0.00103781	21621
HG03130	3222068	0.00103938	0.00104046	21676.2
HG03132	3278937	0.00105772	0.00105884	22059.2
HG03133	3278379	0.00105754	0.00105866	22055.4
HG03135	3286827	0.00106027	0.0010614	22112.5
HG03136	3272246	0.00105556	0.00105668	22014.2
HG03139	3259687	0.00105151	0.00105262	21929.6
HG03157	3301148	0.00106489	0.00106603	22209
HG03159	3270535	0.00105501	0.00105612	22002.5
HG03160	3265450	0.00105337	0.00105448	21968.3
HG03162	3253094	0.00104939	0.00105049	21885.2
HG03163	3192619	0.00102988	0.00103094	21477.9
HG03166	3244764	0.0010467	0.0010478	21829.2
HG03168	3256928	0.00105062	0.00105172	21910.8
HG03169	3212817	0.00103639	0.00103747	21614
HG03172	3253819	0.00104962	0.00105072	21890
HG03175	3286800	0.00106026	0.00106139	22112.3
HG03189	3282053	0.00105873	0.00105985	22080.2
HG03190	3212622	0.00103633	0.00103741	21612.7
HG03193	3315073	0.00106938	0.00107052	22302.5
HG03195	3267078	0.0010539	0.00105501	21979.4
HG03196	3285224	0.00105975	0.00106087	22101.5
HG03198	3245832	0.00104704	0.00104814	21836.2
HG03199	3243549	0.00104631	0.00104741	21821
HG03202	3276812	0.00105704	0.00105816	22045
HG03265	3265939	0.00105353	0.00105464	21971.7
HG03267	3279852	0.00105802	0.00105914	22065.4
HG03268	3253458	0.0010495	0.0010506	21887.5
HG03270	3278751	0.00105766	0.00105878	22057.9
HG03271	3254833	0.00104995	0.00105105	21896.9
